Name,Set,Quantity
Eladamri's Vineyard,Tempest,1
"Eladamri, Lord of Leaves",Tempest,1
Electric Eel,The Dark,1
Electryte,Urza's Saga,1
Elite Archers,Urza's Saga,1
Elite Cat Warrior (A),Portal,5
Elite Javelineer,Tempest,4
Elixir of Vitality,Mirage,1
Elven Cache,Portal,1
Elven Cache,Visions,5
Elven Palisade,Exodus,2
Elven Rite,Stronghold,4
Elven Warhounds,Tempest,1
Elvish Berserker,Exodus,7
Elvish Fury,Tempest,1
Elvish Healer,Ice Age,1
Elvish Herder,Urza's Saga,1
Elvish Lyrist,Urza's Saga,1
Elvish Ranger (B),Alliances,1
Elvish Ranger,Portal,6
Emberwilde Caliph,Mirage,1
Emberwilde Djinn,Mirage,1
Emerald Charm,Visions,7
Emerald Medallion,Tempest,1
Emmessi Tome,Tempest,1
Empyrial Armor,Weatherlight,2
Enchantment Alteration,Urza's Saga,1
Endangered Armodon,Stronghold,4
Endless Cockroaches,Portal,1
Endless Scream,Tempest,2
Endless Wurm,Urza's Saga,1
Endoskeleton,Urza's Saga,1
Energizer,Tempest,1
Energy Arc,Alliances,1
Energy Bolt,Mirage,1
Energy Field,Urza's Saga,1
Energy Tap,Fourth Edition,1
Energy Vortex,Mirage,1
Enervate,Fifth Edition,1
Enfeeblement,Mirage,3
Enfeeblement,Tempest,2
Enlightened Tutor,Mirage,1
Enraging Licid,Tempest,1
Enslaved Scout (A),Alliances,1
Enslaved Scout (B),Alliances,1
Ensnaring Bridge,Stronghold,1
Entropic Specter,Exodus,1
Ephemeron,Exodus,1
Equilibrium,Exodus,1
Erg Raiders,Fourth Edition,1
Erosion,Fourth Edition,1
Errand of Duty (A),Alliances,1
Errant Minion,Ice Age,1
Erratic Portal,Exodus,1
Ersatz Gnomes,Mirage,1
Ertai's Meddling,Tempest,1
"Ertai, Wizard Adept",Exodus,1
Escaped Shapeshifter,Tempest,1
Essence Bottle,Tempest,1
Eternal Warrior,Fourth Edition,1
Ether Well,Mirage,2
Ethereal Champion,Mirage,1
Evacuation,Stronghold,1
Evincar's Justice,Tempest,4
Exalted Dragon,Exodus,1
Excavator,Tempest,1
Exhaustion,Portal,1
Exhaustion,Urza's Saga,1
Exhume,Urza's Saga,3
Exploration,Urza's Saga,1
Expunge,Urza's Saga,1
Extinction,Tempest,1
Fade Away,Exodus,9
Faith Healer,Urza's Saga,1
Faith's Fetters,Ravnica: City of Guilds,4
Fallen Askari,Visions,7
Fallow Earth,Mirage,1
Falter,Urza's Saga,4
Fanning the Flames,Stronghold,1
Farrel's Zealot (Ferguson),Fallen Empires,1
Fault Line,Urza's Saga,1
Favorable Destiny,Mirage,1
Fear,Fourth Edition,1
Feast of the Unicorn,Classic Sixth Edition,1
Fecundity,Urza's Saga,1
Feedback,Fourth Edition,1
Feedback,Revised Edition,2
Femeref Archers,Mirage,1
Femeref Healer,Mirage,6
Femeref Knight,Mirage,4
Femeref Scouts,Mirage,4
Feral Instinct,Visions,11
Feral Shadow,Mirage,2
Feral Shadow,Portal,1
Fertile Ground,Urza's Saga,1
Festering Evil,Weatherlight,1
Fetid Horror,Mirage,4
Fevered Convulsions,Tempest,1
Fevered Strength (A),Alliances,1
Field of Souls,Tempest,1
Fiery Mantle,Urza's Saga,1
Fighting Chance,Exodus,1
Fighting Drake,Tempest,1
Final Fortune,Mirage,1
Final Strike,Portal,1
Fire Ants,Urza's Saga,1
Fire Diamond,Mirage,1
Fire Drake,Chronicles,1
Fire Imp,Portal,2
Fire Snake,Portal,4
Fire Whip,Weatherlight,6
Fireball,Fourth Edition,1
Firebreathing,Fourth Edition,1
Firebreathing,Mirage,5
Firefly,Tempest,1
Fireslinger,Tempest,1
Fit of Rage,Weatherlight,6
Flailing Drake,Tempest,1
Flame Elemental,Mirage,4
Flame Wave,Stronghold,1
Flare,Mirage,5
Flash,Mirage,1
Fledgling Djinn,Weatherlight,8
Flesh Reaver,Urza's Saga,1
Flickering Ward,Tempest,1
Fling,Stronghold,3
Flood Plain,Mirage,1
Flood,Fifth Edition,1
Flood,Fourth Edition,1
Floodgate,Mirage,1
Flowstone Blade,Stronghold,3
Flowstone Flood,Exodus,1
Flowstone Giant,Tempest,4
Flowstone Hellion,Stronghold,3
Flowstone Mauler,Stronghold,2
Flowstone Salamander,Tempest,1
Flowstone Sculpture,Tempest,1
Flowstone Shambler,Stronghold,9
Flowstone Wyvern,Tempest,1
Fluctuator,Urza's Saga,1
Flux,Portal,2
Flux,Weatherlight,5
Fog Bank,Urza's Saga,1
Fog Elemental,Weatherlight,5
Fog,Fifth Edition,1
Fog,Mirage,4
Folk of An-Havva (A),Homelands,1
Folk of An-Havva (B),Homelands,1
Fool's Tome,Tempest,1
Foot Soldiers,Portal,3
Foratog,Mirage,2
Forbid,Exodus,1
Forbidden Crypt,Mirage,1
Forest (329),Seventh Edition,2
Forest (347),Urza's Saga,1
Forest (348),Urza's Saga,1
Forest (349),Urza's Saga,2
Forest (350),Classic Sixth Edition,1
Forest (350),Urza's Saga,2
Forest (A),Mirage,1
Forest (A),Portal,1
Forest (A),Tempest,1
Forest (B),Fifth Edition,1
Forest (B),Mirage,1
Forest (B),Portal,1
Forest (B),Tempest,1
Forest (C),Mirage,1
Forest (C),Portal,1
Forest (C),Tempest,1
Forest (D),Fifth Edition,1
Forest (D),Mirage,1
Forest (D),Portal,1
Forest (D),Tempest,3
Forsaken Wastes,Mirage,1
Fortified Area,Fourth Edition,1
Fortitude,Urza's Saga,3
Foul Imp,Stronghold,6
Foxfire,Ice Age,1
Freewind Falcon,Visions,7
Frenetic Efreet,Mirage,1
Freyalise Supplicant,Ice Age,1
Frog Tongue,Tempest,4
Frozen Shade,Fourth Edition,1
Frozen Shade,Revised Edition,1
Fruition,Portal,6
Fugitive Druid,Tempest,1
Fugue,Exodus,1
Furnace Brood,Exodus,8
Furnace of Rath,Tempest,1
Furnace Spirit,Stronghold,5
Fylamarid,Tempest,1
Gaea's Bounty,Urza's Saga,1
Gaea's Cradle,Urza's Saga,1
Gaea's Embrace,Urza's Saga,1
Gallantry,Tempest,1
Galvanic Arc,Ravnica: City of Guilds,2
Gamble,Urza's Saga,1
Gaseous Form,Fifth Edition,2
Gaseous Form,Tempest,4
Gerrard's Battle Cry,Tempest,1
Gerrard's Wisdom,Weatherlight,1
Get a Life,Unglued,1
Ghost Hounds,Homelands,1
Ghost Ship,The Dark,1
Ghost Town,Tempest,1
Giant Albatross (A),Homelands,1
Giant Albatross (B),Homelands,1
Giant Caterpillar,Visions,2
Giant Crab,Tempest,5
Giant Mantis,Mirage,3
Giant Octopus,Portal,3
Giant Slug,Chronicles,1
Giant Spider,Fourth Edition,1
Giant Spider,Portal,4
Giant Strength,Fourth Edition,2
Giant Strength,Tempest,5
Gibbering Hyenas,Mirage,6
Gilded Drake,Urza's Saga,1
Gliding Licid,Stronghold,1
Gloom,Fourth Edition,1
Glorious Anthem,Urza's Saga,1
Goblin Bombardment,Tempest,1
Goblin Bully,Portal,3
Goblin Cadets,Urza's Saga,1
Goblin Chirurgeon (Frazier),Fallen Empires,1
Goblin Digging Team,Chronicles,1
Goblin Elite Infantry,Mirage,2
Goblin Kites,Fallen Empires,1
Goblin Lackey,Urza's Saga,1
Goblin Matron,Urza's Saga,1
Goblin Offensive,Urza's Saga,1
Goblin Patrol,Urza's Saga,1
Goblin Raider,Urza's Saga,3
Goblin Recruiter,Visions,1
Goblin Rock Sled,The Dark,1
Goblin Scouts,Mirage,1
Goblin Shrine,Chronicles,1
Goblin Shrine,The Dark,1
Goblin Soothsayer,Mirage,1
Goblin Spelunkers,Urza's Saga,3
Goblin Swine-Rider,Visions,5
Goblin Tinkerer,Mirage,2
Goblin Vandal,Weatherlight,1
Goblin War Buggy,Urza's Saga,1
Goblin War Drums (Ferguson),Fallen Empires,1
Goblin War Drums (Frazier),Fallen Empires,1
Goblin War Drums (Hudson),Fallen Empires,1
Goblins of the Flarg,Chronicles,1
Golgothian Sylex,Antiquities,1
Gorilla Berserkers (A),Alliances,2
Gorilla Berserkers (B),Alliances,1
Gorilla Shaman (A),Alliances,1
Gorilla Shaman (B),Alliances,2
Gorilla War Cry (B),Alliances,1
Gorilla Warrior,Portal,2
Gorilla Warrior,Urza's Saga,3
Gossamer Chains,Visions,3
Grafted Skullcap,Urza's Saga,1
Granger Guildmage,Mirage,5
Grapeshot Catapult,Fifth Edition,1
Grapeshot Catapult,Fourth Edition,1
Grasslands,Mirage,1
Grave Pact,Stronghold,1
Grave Servitude,Mirage,7
Gravebane Zombie,Mirage,1
Gravedigger,Portal,1
Gravedigger,Tempest,1
Gray Ogre,Fourth Edition,1
Great Whale,Urza's Saga,1
Greater Good,Urza's Saga,1
Greater Werewolf,Fifth Edition,1
Green Ward,Fourth Edition,1
Greener Pastures,Urza's Saga,1
Grim Feast,Mirage,1
Grindstone,Tempest,1
Grinning Totem,Mirage,1
Grizzly Bears,Fifth Edition,1
Grizzly Bears,Portal,5
Grollub,Exodus,3
Guerrilla Tactics (A),Alliances,3
Guerrilla Tactics (B),Alliances,1
Guided Strike,Weatherlight,5
Guma,Urza's Saga,1
Hail Storm,Alliances,1
"Hakim, Loreweaver",Mirage,1
Hall of Gemstone,Mirage,1
Hammer of Bogardan,Mirage,1
Hammerhead Shark,Stronghold,6
Hand of Death (A),Portal,7
Hand of Justice,Fallen Empires,1
Hand to Hand,Tempest,1
Handcuffs,Unglued,2
Hanna's Custody,Tempest,1
Harbinger of Night,Mirage,1
Harbor Guardian,Mirage,1
Harmattan Efreet,Mirage,3
Harrow,Tempest,1
Harvest Wurm,Weatherlight,1
Hatred,Exodus,1
Haunting Apparition,Mirage,1
Haunting Misery,Weatherlight,4
Havoc,Tempest,1
Hawkeater Moth,Urza's Saga,1
Hazerider Drake,Mirage,1
Headlong Rush,Urza's Saga,3
Heal,Ice Age,1
Healing Salve,Mirage,7
Healing Salve,Urza's Saga,4
Heart Sliver,Tempest,1
Hearth Charm,Visions,3
Heartstone,Stronghold,1
Heartwood Dryad,Tempest,5
Heartwood Giant,Tempest,1
Heartwood Treefolk,Tempest,1
Heat of Battle,Stronghold,1
Heat Ray,Urza's Saga,1
Heavy Ballista,Weatherlight,1
Helm of Possession,Tempest,1
Herald of Serra,Urza's Saga,1
Hermetic Study,Urza's Saga,2
Hermit Druid,Stronghold,1
Hero's Resolve,Tempest,2
Hesitation,Stronghold,1
Hibernation Sliver,Stronghold,1
Hibernation,Urza's Saga,1
Hidden Ancients,Urza's Saga,1
Hidden Guerrillas,Urza's Saga,1
Hidden Herd,Urza's Saga,1
Hidden Predators,Urza's Saga,1
Hidden Retreat,Stronghold,1
Hidden Spider,Urza's Saga,4
Hidden Stag,Urza's Saga,1
High Ground,Exodus,1
High Tide (Maddocks),Fallen Empires,1
Highland Giant,Portal,3
Hill Giant,Fifth Edition,1
Hill Giant,Fourth Edition,1
Hill Giant,Portal,5
Hivis of the Scale,Mirage,1
Hollow Dogs,Ninth Edition,2
Hollow Dogs,Urza's Saga,5
Homarid (Hoover),Fallen Empires,1
Homarid (Hudson),Fallen Empires,1
Homarid (Tedin),Fallen Empires,1
Homarid Warrior,Fifth Edition,1
Honor Guard,Stronghold,7
Hope Charm,Visions,6
Hopping Automaton,Urza's Saga,1
Horn of Greed,Stronghold,1
Horned Sliver,Tempest,1
Horned Turtle,Portal,3
Horned Turtle,Tempest,4
Hornet Cannon,Stronghold,1
Horrible Hordes,Mirage,3
Horseshoe Crab,Urza's Saga,1
Howl from Beyond,Fifth Edition,1
Howl from Beyond,Fourth Edition,1
Howl from Beyond,Revised Edition,1
Howling Fury,Portal,2
Hulking Cyclops,Visions,3
Hulking Goblin,Portal,1
Humble,Urza's Saga,1
Humility,Tempest,1
Hungry Mist,Fifth Edition,1
Hurloon Minotaur,Fifth Edition,1
Hurloon Shaman,Weatherlight,2
Hurricane,Portal,1
Hush,Urza's Saga,1
"I'm Rubber, You're Glue",Unglued,1
Icatian Infantry (Shuler),Fallen Empires,1
Icatian Javelineers (Benson),Fallen Empires,1
Icatian Priest,Fallen Empires,1
Icatian Scout (Alexander),Fallen Empires,2
Icatian Scout (Ferguson),Fallen Empires,1
Icatian Scout (Foglio),Fallen Empires,1
Icatian Scout (Shuler),Fallen Empires,1
Igneous Golem,Mirage,1
Ill-Gotten Gains,Urza's Saga,1
Illicit Auction,Mirage,1
Illumination,Mirage,1
Imaginary Pet,Urza's Saga,1
Immolation,Fourth Edition,2
