Claws of Gix,Urza's Saga,1,0,0.00
Clay Statue,Fourth Edition,3,0,0.00
Clear,Urza's Saga,1,0,0.00
Clergy en-Vec,Tempest,4,0,0.00
Cloak of Confusion,Fifth Edition,1,0,0.00
Cloak of Confusion,Ice Age,1,0,0.00
Cloak of Feathers,Portal,3,0,0.00
Cloak of Invisibility,Mirage,8,0,0.00
Cloak of Mists,Urza's Saga,1,0,0.00
Clockwork Swarm,Homelands,1,0,0.00
Clot Sliver,Tempest,6,0,0.00
Cloud Elemental,Visions,8,0,0.00
Cloud Pirates,Portal,4,0,0.00
Cloud Spirit,Portal,2,0,0.00
Cloud Spirit,Stronghold,8,0,0.00
Cloudchaser Eagle,Tempest,2,0,0.00
Coat of Arms,Exodus,1,0,0.00
Coercion,Tempest,3,0,0.00
Coercion,Visions,6,0,0.00
Coffin Queen,Tempest,1,0,0.00
Coiled Tinviper,Tempest,1,0,0.00
Coils of the Medusa,Weatherlight,6,0,0.00
Cold Storage,Tempest,1,0,0.00
Combat Medic (Beard),Fallen Empires,1,0,0.00
Combat Medic (Maddocks),Fallen Empires,2,0,0.00
Command of Unsummoning,Portal,2,0,0.00
Commander Greven il-Vec,Tempest,1,0,0.00
Cone of Flame,Weatherlight,2,0,0.00
Confiscate,Urza's Saga,1,0,0.00
Congregate,Urza's Saga,1,0,0.00
Constant Mists,Stronghold,2,0,0.00
Consuming Ferocity,Mirage,1,0,0.00
Contaminated Bond,Mirrodin,4,0,0.00
Contamination,Urza's Saga,1,0,0.00
Contemplation,Stronghold,1,0,0.00
Contempt,Stronghold,5,0,0.00
Convalescence,Exodus,1,0,0.00
Conviction,Stronghold,7,0,0.00
Convulsing Licid,Stronghold,1,0,0.00
Copper Gnomes,Urza's Saga,1,0,0.00
Coral Eel,Portal,7,0,0.00
Coral Fighters,Mirage,1,0,0.00
Coral Helm,Fifth Edition,1,0,0.00
Coral Merfolk,Urza's Saga,4,0,0.00
Corpse Dance,Tempest,1,0,0.00
Corrupt,Urza's Saga,5,0,0.00
Corrupting Licid,Stronghold,1,0,0.00
Counsel of the Soratami,Champions of Kamigawa,1,0,0.00
